year,PLZ3,gisd_score,population,gisd_5,gisd_10,gisd_k
1999,28,0.8596,76020,5,10,3
1999,29,0.82523,124086,5,10,3
1999,30,0.71243,121904,4,8,2
1999,31,0.77192,92034,5,9,3
1999,32,0.81056,74095,5,10,3
1999,41,0.77685,192325,5,9,3
1999,42,0.77682,225295,5,9,3
1999,43,0.77702,185537,5,9,3
1999,44,0.83035,108178,5,10,3
1999,45,0.82231,111036,5,10,3
1999,46,0.84849,174019,5,10,3
1999,47,0.81718,99426,5,10,3
1999,48,0.83589,140303,5,10,3
1999,49,0.79621,53504,5,9,3
1999,61,0.89032,308193,5,10,3
1999,62,0.86366,139064,5,10,3
1999,63,0.93929,105127,5,10,3
1999,64,0.96424,139622,5,10,3
1999,65,0.94662,102751,5,10,3
1999,66,0.91022,130970,5,10,3
1999,67,0.89487,135112,5,10,3
1999,68,0.85831,159814,5,10,3
1999,69,0.86579,38262,5,10,3
1999,73,0.78682,86125,5,9,3
1999,74,0.78601,45586,5,9,3
1999,75,0.81588,135676,5,10,3
1999,76,0.74456,55962,5,9,3
1999,77,0.54753,137761,3,6,2
1999,78,0.80347,15552,5,10,3
1999,79,0.7756,88056,5,9,3
1999,80,0.80656,81309,5,10,3
1999,81,0.82648,60099,5,10,3
1999,82,0.80708,123863,5,10,3
1999,83,0.81656,110716,5,10,3
1999,84,0.82413,91084,5,10,3
1999,85,0.79174,80262,5,9,3
1999,86,0.80057,26129,5,9,3
1999,91,0.75367,195539,5,9,3
1999,92,0.78727,119436,5,9,3
1999,93,0.81679,131547,5,10,3
1999,94,0.81259,114131,5,10,3
1999,95,0.79494,108055,5,9,3
1999,96,0.80142,98971,5,10,3
1999,101,0.77395,45127,5,9,3
1999,102,0.77395,43139,5,9,3
